Month	Week	Steps	Class
15-Mar	1	51388	N
15-Mar	2	65680	N
15-Mar	3	65991	N
15-Mar	4	49264	N
15-Apr	1	44496	N
15-Apr	2	64845	N
15-Apr	3	62070	N
15-Apr	4	62909	N
15-May	1	71843	N
15-May	2	47677	N
15-May	3	50411	N
15-May	4	47617	N
15-May	5	3690	N
15-Jun	1	8731	N
15-Jun	4	19386	N
15-Jul	1	8869	N
15-Jul	2	8838	N
15-Aug	2	53827	N
15-Aug	3	21232	N
15-Aug	4	30217	N
15-Aug	5	43395	N
15-Sep	1	50239	C
15-Sep	2	41760	C
15-Sep	3	67392	C
15-Sep	4	53976	C
15-Oct	1	36189	C
15-Oct	2	44531	C
15-Oct	3	31024	C
15-Oct	4	32158	C
15-Oct	5	33517	C
15-Nov	1	14554	C
15-Nov	2	28456	C
15-Nov	3	22309	C
15-Nov	4	18721	C
15-Dec	1	29150	N
15-Dec	2	32733	N
15-Dec	3	15085	N
16-Jan	4	21926	N
16-Jan	5	44208	N
16-Feb	1	44997	N
16-Feb	2	46086	N
16-Feb	3	48412	N
16-Feb	4	69165	N
16-Mar	1	45032	N
16-Mar	2	50212	N
16-Mar	3	48544	N
16-Mar	4	63622	N
16-Apr	1	53184	N
16-Apr	2	84680	N
16-Apr	3	89220	N
16-Apr	4	67848	N
16-Apr	5	73944	N
16-May	1	67297	N
16-May	2	58278	N
16-May	3	68004	N
16-May	4	49186	N
16-Jun	1	70845	N
16-Jun	2	81160	N
16-Jun	3	71327	N
16-Jun	4	70456	N
16-Jun	5	77114	N
16-Jul	1	86446	N
16-Jul	2	84926	N
16-Jul	3	72203	N
16-Jul	4	67797	N
16-Aug	1	60057	N
16-Aug	2	74868	N
16-Aug	3	65176	N
16-Aug	4	58012	B
16-Sep	1	56150	B
16-Sep	2	56064	B
16-Sep	3	58629	B
16-Sep	4	49047	B
16-Sep	5	38090	B
16-Oct	1	43954	B
16-Oct	2	36399	B
16-Oct	3	41894	B
16-Oct	4	54540	B
16-Nov	1	47754	B
16-Nov	2	62818	B
16-Nov	3	33788	B
16-Nov	4	41189	B
16-Dec	1	40284	B
16-Dec	2	27897	B
16-Dec	3	48103	B
16-Dec	4	58235	N
16-Dec	5	52540	N
17-Jan	1	15058	N
17-Jan	2	13587	B
17-Jan	3	50859	B
17-Jan	4	47048	B
17-Feb	1	43302	B
17-Feb	2	35664	B
17-Feb	3	59446	B
17-Feb	4	42516	B
17-Mar	1	44864	B
17-Mar	2	51879	B
17-Mar	3	51189	B
17-Mar	4	55678	B
17-Mar	5	69087	N
17-Apr	1	60988	B
17-Apr	2	68445	B
17-Apr	3	63812	B
17-Apr	4	63280	B
17-May	1	66057	N
17-May	2	92393	N
17-May	3	56179	B
17-May	4	63757	B
17-Jun	1	61204	B
17-Jun	2	52183	B
17-Jun	3	45067	B
17-Jun	4	46510	B
17-Jun	5	61307	B
17-Jul	1	39376	B
17-Jul	2	48166	B
17-Jul	3	50601	B
17-Jul	4	45354	B
17-Aug	1	61228	B
17-Aug	2	45615	B
17-Aug	3	52482	N
17-Aug	4	73471	N
17-Sep	1	37269	B
17-Sep	2	49787	B
17-Sep	3	43005	B
