MonthWeek	Steps	Class
15-Mar-wk1	51388	N
15-Mar-wk2	65680	N
15-Mar-wk3	65991	N
15-Mar-wk4	49264	N
15-Apr-wk1	44496	N
15-Apr-wk2	64845	N
15-Apr-wk3	62070	N
15-Apr-wk4	62909	N
15-May-wk1	71843	N
15-May-wk2	47677	N
15-May-wk3	50411	N
15-May-wk4	47617	N
15-May-wk5	3690	N
15-Jun-wk1	8731	N
15-Jun-wk4	19386	N
15-Jul-wk1	8869	N
15-Jul-wk2	8838	N
15-Aug-wk2	53827	N
15-Aug-wk3	21232	N
15-Aug-wk4	30217	N
15-Aug-wk5	43395	N
15-Sep-wk1	50239	C
15-Sep-wk2	41760	C
15-Sep-wk3	67392	C
15-Sep-wk4	53976	C
15-Oct-wk1	36189	C
15-Oct-wk2	44531	C
15-Oct-wk3	31024	C
15-Oct-wk4	32158	C
15-Oct-wk5	33517	C
15-Nov-wk1	14554	C
15-Nov-wk2	28456	C
15-Nov-wk3	22309	C
15-Nov-wk4	18721	C
15-Dec-wk1	29150	N
15-Dec-wk2	32733	N
15-Dec-wk3	15085	N
16-Jan-wk4	21926	N
16-Jan-wk5	44208	N
16-Feb-wk1	44997	N
16-Feb-wk2	46086	N
16-Feb-wk3	48412	N
16-Feb-wk4	69165	N
16-Mar-wk1	45032	N
16-Mar-wk2	50212	N
16-Mar-wk3	48544	N
16-Mar-wk4	63622	N
16-Apr-wk1	53184	N
16-Apr-wk2	84680	N
16-Apr-wk3	89220	N
16-Apr-wk4	67848	N
16-Apr-wk5	73944	N
16-May-wk1	67297	N
16-May-wk2	58278	N
16-May-wk3	68004	N
16-May-wk4	49186	N
16-Jun-wk1	70845	N
16-Jun-wk2	81160	N
16-Jun-wk3	71327	N
16-Jun-wk4	70456	N
16-Jun-wk5	77114	N
16-Jul-wk1	86446	N
16-Jul-wk2	84926	N
16-Jul-wk3	72203	N
16-Jul-wk4	67797	N
16-Aug-wk1	60057	N
16-Aug-wk2	74868	N
16-Aug-wk3	65176	N
16-Aug-wk4	58012	B
16-Sep-wk1	56150	B
16-Sep-wk2	56064	B
16-Sep-wk3	58629	B
16-Sep-wk4	49047	B
16-Sep-wk5	38090	B
16-Oct-wk1	43954	B
16-Oct-wk2	36399	B
16-Oct-wk3	41894	B
16-Oct-wk4	54540	B
16-Nov-wk1	47754	B
16-Nov-wk2	62818	B
16-Nov-wk3	33788	B
16-Nov-wk4	41189	B
16-Dec-wk1	40284	B
16-Dec-wk2	27897	B
16-Dec-wk3	48103	B
16-Dec-wk4	58235	N
16-Dec-wk5	52540	N
17-Jan-wk1	15058	N
17-Jan-wk2	13587	B
17-Jan-wk3	50859	B
17-Jan-wk4	47048	B
17-Feb-wk1	43302	B
17-Feb-wk2	35664	B
17-Feb-wk3	59446	B
17-Feb-wk4	42516	B
17-Mar-wk1	44864	B
17-Mar-wk2	51879	B
17-Mar-wk3	51189	B
17-Mar-wk4	55678	B
17-Mar-wk5	69087	N
17-Apr-wk1	60988	B
17-Apr-wk2	68445	B
17-Apr-wk3	63812	B
17-Apr-wk4	63280	B
17-May-wk1	66057	N
17-May-wk2	92393	N
17-May-wk3	56179	B
17-May-wk4	63757	B
17-Jun-wk1	61204	B
17-Jun-wk2	52183	B
17-Jun-wk3	45067	B
17-Jun-wk4	46510	B
17-Jun-wk5	61307	B
17-Jul-wk1	39376	B
17-Jul-wk2	48166	B
17-Jul-wk3	50601	B
17-Jul-wk4	45354	B
17-Aug-wk1	61228	B
17-Aug-wk2	45615	B
17-Aug-wk3	52482	N
17-Aug-wk4	73471	N
17-Sep-wk1	37269	B
17-Sep-wk2	49787	B
17-Sep-wk3	43005	B
